epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.50288,3.17131,3.56665,2.59745,0.00198,0.27778,0.00256,0.00036,3.33194,3.27884,2.49971,6.668e-05,6.668e-05,6.668e-05
2,11.4538,3.02774,3.442,2.44233,0.00253,0.33333,0.00776,0.00115,3.1916,3.25945,2.09967,0.000148545,0.000148545,0.000148545
3,15.4638,1.72603,3.0093,1.55243,0.00482,0.55556,0.16999,0.06768,1.75139,3.09331,1.85555,0.000228759,0.000228759,0.000228759
4,18.4991,1.18249,2.61373,1.26917,0.00978,0.97222,0.46568,0.18418,1.59504,3.01804,1.76205,0.000307323,0.000307323,0.000307323
5,20.8982,0.99285,2.37185,1.16898,0.01023,1,0.4801,0.266,1.09298,2.78455,1.12438,0.000384237,0.000384237,0.000384237
6,23.0167,0.9022,2.01067,1.12466,0.01025,1,0.46677,0.29265,0.98855,2.75323,1.05502,0.0004595,0.0004595,0.0004595
7,25.1235,0.84152,1.60138,1.06623,0.01026,1,0.49632,0.35311,1.01967,2.85651,1.11026,0.000533113,0.000533113,0.000533113
8,27.9955,0.86693,1.293,1.07748,0.01011,1,0.52344,0.32351,1.054,2.75486,0.96643,0.000605076,0.000605076,0.000605076
9,31.5726,0.85281,1.18109,1.09048,0.01007,1,0.71001,0.48893,1.05708,2.548,0.95695,0.000675388,0.000675388,0.000675388
10,34.6639,0.77681,0.9795,1.04453,0.01003,1,0.53279,0.39774,1.18379,2.58511,1.18601,0.00074405,0.00074405,0.00074405
11,36.9899,0.76751,0.95804,1.04587,0.01001,1,0.53175,0.43881,1.01012,2.53273,1.07395,0.000811062,0.000811062,0.000811062
12,39.0864,0.76022,0.92987,1.0452,0.9327,0.5,0.78505,0.57741,1.00911,2.41213,1.08007,0.000876424,0.000876424,0.000876424
13,41.2986,0.71961,0.84809,1.02259,1,0.46947,0.8821,0.59476,1.01911,2.32979,1.10555,0.000940135,0.000940135,0.000940135
14,43.4179,0.70757,0.86184,1.03062,1,0.40808,0.995,0.70349,1.02943,2.19235,1.15699,0.0010022,0.0010022,0.0010022
15,46.4105,0.71521,0.82705,0.97818,1,0.45789,0.98921,0.80978,0.7247,1.9302,0.81454,0.00106261,0.00106261,0.00106261
16,49.9082,0.6699,0.74881,0.99545,1,0.41599,0.995,0.82918,0.73811,1.92842,0.80923,0.00112137,0.00112137,0.00112137
17,52.709,0.67264,0.79904,0.98197,1,0.69322,0.995,0.79134,0.70915,1.77305,0.76598,0.00117848,0.00117848,0.00117848
18,54.7362,0.67121,0.77875,0.98354,0.99235,0.84947,0.995,0.83885,0.56915,1.54862,0.73538,0.00123394,0.00123394,0.00123394
19,56.9152,0.67594,0.72944,0.96014,0.98427,0.9709,0.995,0.80775,0.8126,1.28493,0.68474,0.00128774,0.00128774,0.00128774
20,59.0507,0.64001,0.7467,0.99586,0.80097,1,0.995,0.81893,0.72903,1.20463,0.89668,0.0013399,0.0013399,0.0013399
21,61.4483,0.68128,0.75976,0.97624,0.81183,0.91419,0.99368,0.71821,1.02739,1.35258,1.27284,0.00133693,0.00133693,0.00133693
22,64.3657,0.6742,0.73866,0.96151,0.77861,0.95147,0.995,0.72471,0.97805,1.31148,0.91176,0.00132043,0.00132043,0.00132043
23,67.7945,0.64988,0.70688,0.95404,0.89202,0.90548,0.984,0.81372,0.71535,1.21486,0.72788,0.00130393,0.00130393,0.00130393
24,70.326,0.63941,0.71656,0.95575,0.97622,1,0.995,0.8931,0.53929,0.97548,0.73776,0.00128742,0.00128742,0.00128742
25,72.4407,0.64565,0.70295,0.95886,0.98627,1,0.995,0.8378,0.66944,0.94,0.74391,0.00127092,0.00127092,0.00127092
26,74.7714,0.61958,0.66997,0.94386,0.97984,1,0.995,0.83193,0.72393,0.91744,0.73637,0.00125442,0.00125442,0.00125442
27,76.7875,0.60032,0.66908,0.9591,0.96638,1,0.995,0.81441,0.71241,0.93232,0.75179,0.00123791,0.00123791,0.00123791
28,79.2963,0.57479,0.66082,0.93595,0.97862,0.96903,0.995,0.86076,0.57578,0.92387,0.74253,0.00122141,0.00122141,0.00122141
29,82.4247,0.54743,0.65438,0.93542,0.96967,1,0.995,0.84503,0.65043,0.95173,0.72122,0.00120491,0.00120491,0.00120491
30,86.0118,0.54873,0.64425,0.94267,0.9716,1,0.995,0.85739,0.64305,0.95031,0.7292,0.0011884,0.0011884,0.0011884
31,88.2843,0.53932,0.65838,0.94276,0.97512,1,0.995,0.88705,0.50599,0.89826,0.71581,0.0011719,0.0011719,0.0011719
32,90.2481,0.52487,0.61828,0.91845,0.98057,1,0.995,0.89336,0.52594,0.77512,0.68188,0.0011554,0.0011554,0.0011554
33,92.4222,0.46801,0.56464,0.9212,0.98516,1,0.995,0.87271,0.55221,0.74071,0.6894,0.00113889,0.00113889,0.00113889
34,94.5019,0.47885,0.56303,0.92071,0.98817,1,0.995,0.84368,0.63769,0.69879,0.68758,0.00112239,0.00112239,0.00112239
35,97.264,0.5,0.56877,0.9256,0.99157,1,0.995,0.85845,0.5949,0.62004,0.6809,0.00110589,0.00110589,0.00110589
36,100.512,0.49323,0.56483,0.92215,0.99557,1,0.995,0.94488,0.38351,0.4534,0.68706,0.00108938,0.00108938,0.00108938
37,103.471,0.46149,0.52158,0.91596,0.99655,1,0.995,0.9408,0.38962,0.46438,0.68906,0.00107288,0.00107288,0.00107288
38,105.82,0.5159,0.57739,0.92424,0.99674,1,0.995,0.876,0.51825,0.48565,0.69417,0.00105638,0.00105638,0.00105638
39,108.919,0.48431,0.54911,0.915,0.99584,1,0.995,0.84081,0.61625,0.51353,0.70476,0.00103987,0.00103987,0.00103987
